46,"-6.3250663,106.7845645",Jakarta Cinere 1,Jl. Cinere Raya Kav. 32-33,Cinere,Cinere,Kota Depok,16514,JAWA BARAT,DEPOK GALERIA SAWANGAN,15717,,,
47,"-6.4023366,106.7423367",Sawangan Sari Plaza 2,Ruko Sari Plaza No. 19 - 20 Jl. Bojongsari No. 1,Bojongsari,Bojongsari,Kota Depok,16516,JAWA BARAT,DEPOK GALERIA SAWANGAN,15707,,,
48,"-6.3739878,106.7450988",Depok Cinangka 2,"Komp. Ruko dan Pergudangan Sawangan Megah Blok A 8, Jl. Raya Parung Ciputat, KM 63, RT 006 / RW 004",Sarua,Bojongsari,Kota Depok,16517,JAWA BARAT,DEPOK GALERIA SAWANGAN,15786,,,
49,"-6.339571, 106.793358",Depok Bukit Cinere Gandul 1,Jl. Bukit Cinere No. 86.D,Gandul,Cinere,Kota Depok,16514,JAWA BARAT,DEPOK GALERIA SAWANGAN,15718,,,
50,"-6.3430095,106.7788801",Depok Cinere Limo 1,"Jl. Cinere Blok F1 No. 7, Cinere",Cinere,Cinere,Kota Depok,16514,JAWA BARAT,DEPOK GALERIA SAWANGAN,15711,,,
51,"-6.3944002,106.7717608",Galeria Sawangan 1,Jl. Meruyung Raya No. 60 RT 05 RW 10,Rangkapan Jaya,Pancoran Mas,Kota Depok,16435,JAWA BARAT,DEPOK GALERIA SAWANGAN,15789,,,
52,"-6.239661, 106.791118",Jakarta Mayestik 1,Jl. Tebah III No. 1,Gunung,Kebayoran Baru,Wil. Kota Jakarta Selatan,12140,DKI JAKARTA,JAKARTA FALATEHAN,12620,,,
53,"-6.256171, 106.789969",Jakarta Radio Dalam 1,Jl. Radio Dalam Raya No.11-11A,Gandaria Utara,Kebayoran Baru,Wil. Kota Jakarta Selatan,12140,DKI JAKARTA,JAKARTA FALATEHAN,12618,,,
54,"-6.245701, 106.800570",Jakarta Melawai 1,"Jl. Melawai Raya No. 12-14, Kebayoran Baru",Melawai,Kebayoran Baru,Wil. Kota Jakarta Selatan,12160,DKI JAKARTA,JAKARTA FALATEHAN,12606,,,
55,"-6.3629829,106.8024122",Jakarta Jagakarsa 1,Jl. Raya Moch. Kahfi I No. 27 Cipedak,Cipedak,Jagakarsa,Wil. Kota Jakarta Selatan,12630,DKI JAKARTA,JAKARTA FALATEHAN,12675,,,
56,"-6.243073, 106.801714",Jakarta Falatehan 1,Jl. Falatehan I No.44,Melawai,Kebayoran Baru,Wil. Kota Jakarta Selatan,12160,DKI JAKARTA,JAKARTA FALATEHAN,12600,,,
57,"-6.2528296,106.800138",Jakarta Grand Wijaya 1,"Jl. Wijaya II, Komp. Wijaya Grand Center Blok F.1",Pulo,Kebayoran Baru,Wil. Kota Jakarta Selatan,12160,DKI JAKARTA,JAKARTA FALATEHAN,12602,,,
58,"-6.280967, 106.796578",Jakarta Fatmawati 1,"Jl. R.S. Fatmawati No. 8, Cilandak",Cilandak Barat,Cilandak,Wil. Kota Jakarta Selatan,12430,DKI JAKARTA,JAKARTA FATMAWATI,12700,,,
59,"-6.2636482,106.7977118",Jakarta ITC Fatmawati 1,"Pertokoan Duta Mas Blok A.I No. 17 , Jl. RS Fatmawati",Cipete Utara,Kebayoran Baru,Wil. Kota Jakarta Selatan,12150,DKI JAKARTA,JAKARTA FATMAWATI,12710,,,
60,"-6.2940496,106.7947705",Jakarta Cilandak Barat 1,"Jl. R.S. Fatmawati No. 6 , Cilandak Barat",Cilandak Barat,Pondok Labu,Wil. Kota Jakarta Selatan,12420,DKI JAKARTA,JAKARTA FATMAWATI,12708,,,
61,"-6.285118, 106.838414",Jakarta Jatipadang 1,Jl. Raya Ragunan No. 185 RT 013 RW 003,Pasar Minggu,Pasar Minggu,Wil. Kota Jakarta Selatan,12520,DKI JAKARTA,JAKARTA FATMAWATI,12714,,,
62,"-6.3095066,106.8136489",Jakarta Cilandak KKO 1,Jl. Raya Cilandak KKO No. 5,Ragunan,Pasar Minggu,Wil. Kota Jakarta Selatan,12560,DKI JAKARTA,JAKARTA FATMAWATI,12713,,,
63,"-6.327472, 106.824077",Jakarta Lenteng Agung 1,"Ruko Syntha House, Jl. Raya Jagakarsa No.50D RT 009 RW 003",Jagakarsa,Jagakarsa,Wil. Kota Jakarta Selatan,12620,DKI JAKARTA,JAKARTA FATMAWATI,12775,Revisi,V,
64,"-6.3396356,106.8329497",Jakarta Universitas Pancasila 1,"Jl. Raya Lenteng Agung, Srengseng Sawah",Srengseng Sawah,Jagakarsa,Wil. Kota Jakarta Selatan,12640,DKI JAKARTA,JAKARTA FATMAWATI,12720,,,
